FeatureID	Frequency
5f42f7e9e0d71fb8eb76daf377e8bdaa	4.92E-05
d6da8ab6a0c7f969da0b1c93a085cda9	7.62E-05
402bd5ac1951d19fbd3f312c7e5f1548	0.00134533
8dd93b6bc59f35b38d75d22f5cf66b23	1.73E-05
bc4ae61d84daab04b0e888d22f7d3f69	0.000144496
d4d20c8a4b0b24df88825a93233ab689	0.012154586
a1999b4f10c91d6f8efa3c9d73f77fa4	0.008432935
6ebf4f21e7698424e1e3683df98e46fa	0.000418154
f2ad4d1da17d195fabd630ac869642cb	0.001990673
64487332c86a1167bd17614bf16f0b04	0.003785661
7a8d29c59b803baaed9cc1f04ce0dc33	0.014271418
51b77aac70949ef74778c977216dfa73	0.013728028
d56536a97c18adccf18eb08958d93345	0.013306748
d284b92d7518959fe5d52aa45b687394	0.014656231
f1da0f084f3e5b7957d11d01abe7013d	0.008670848
3f6c45001fd40e8b6f9d0558539fd820	0.054817026
8e63cbca108332aa618f7a75160529b3	0.000301816
a06f5fd3db9f925457a537135871f616	0.000696676
fad083926a3ee4a61302bf4336a15a53	0.001719078
e3a4a62adc4e83c274978806164b474a	0.005543011
a3fd29484f59d9bb1389beeef0eb80c7	0.000417534
f65114ea452e68521c4d87e46119613b	0.023877388
c75334a3dac048a23b4020109b8d0595	0.008052111
08a1598eb1ea4dca23db1135552cd5a7	0.001804121
0e832b78c3ed7217d516ae2f40426bef	0.00292238
54f25a2b09b2c1a1517c8b5472eca178	0.01500951
fefd20753a9f85375759b4750fc21d20	0.001725889
0d4b343802645f544e320bde8567ec75	0.005516281
ea28f843f0962949a7b82a70b75476fd	0.005395422
9f74473636e6874853d88dfcbcecff49	0.020467813
c5adecb440a6bac201ab573ccd2d6dda	0.044276076
1a0bea5ccf9d532d75136168ddb54654	0.040437272
47ad35356a9bfec68416d32e4f039021	0.018769953
16a283d6a5cd2c328067ce230b8f316b	0.000802036
1efc4603f7ff0b5563a445542d5ef209	0.000851936
e834390460ccf697f792be45c813a701	0.00118751
33b601a7a8295e7a6c8f413504129220	0.00525563
8ae84ad7043388535d2e24cb63c57526	0.000254948
59c4a678634e50b3fda861310820aadd	0.00250277
1334c4fecc102315458e181593b4a34d	0.001210613
34a957d43e36c8b937c6bfe54f010bb1	6.50E-05
3df77157a242066dfb4eb9c19062436a	0.002193697
